"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"5tpft20jhQvRlG3O7XfwWy","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)","Tyler ICU, Tumelo_za, DJ Maphorisa, Nandipha808, Ceeka RSA, Tyrondee","9","0","3","ZA","2023-10-26","74","True","391888","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)","2023-04-28","0.842","0.504","1","-7.557","1","0.0534","0.0246","0.0139","0.0698","0.495","112.995","4"
"3pImmSzeKex5ffzsDoaL3z","Izenzo","Bassie, Aymos, T-Man SA","8","0","2","ZA","2023-10-26","63","False","414966","Izenzo","2023-08-25","0.748","0.56","4","-13.918","0","0.0563","0.575","0.00117","0.141","0.492","112.0","4"
"4J1H4EuucGhhYfcPpYCBRr","Awukhuzeki","DJ Stokie, Omit ST, Sobzeen, Zee_nhle","7","-1","-2","ZA","2023-10-26","69","False","492617","My Journey Continues","2023-04-07","0.785","0.471","1","-12.497","1","0.0468","0.0133","0.688","0.119","0.497","112.991","4"
"1ng4byy7mejezJ08hs4P7R","Isgubhu","Sam Deep, Njelic, Aymos","6","1","2","ZA","2023-10-26","48","False","413838","iMALI YE NTWANA","2023-10-13","0.822","0.571","1","-11.215","0","0.0527","0.00391","0.0572","0.0518","0.547","112.998","4"
"5aIVCx5tnk0ntmdiinnYvw","Water","Tyla","5","0","1","ZA","2023-10-26","94","False","200255","Water","2023-07-28","0.673","0.722","3","-3.495","0","0.0755","0.0856","0.0","0.137","0.519","117.187","4"
"7JbLSEDlRdoJaXk5ddZae2","Paris","Mthandeni SK, Lwah Ndlunkulu","4","0","0","ZA","2023-10-26","63","False","257959","Paris","2023-08-09","0.619","0.903","1","-4.659","1","0.0693","0.0296","0.00199","0.19","0.964","154.639","4"
"5C9h6ZyskUiyAVDmhSfSdP","Imnandi lento (feat. Tman Xpress)","Mellow & Sleazy, SjavasDaDeejay, TitoM, Tman Xpress","3","0","0","ZA","2023-10-26","70","False","447834","Imnandi lento (feat. Tman Xpress)","2023-08-18","0.861","0.524","6","-13.325","0","0.0667","0.06","0.000776","0.0231","0.632","111.982","4"
"7HmE17lcfpENCJkuurXDvh","Dalie","Kamo Mphela, Tyler ICU, Khalil Harrison, Baby S.O.N","2","0","0","ZA","2023-10-26","67","False","280424","Dalie","2023-10-11","0.831","0.568","1","-9.984","1","0.0515","5e-05","0.0901","0.122","0.16","113.009","4"
"5yyYL1FpimADTIftYQU0cg","iPlan","Dlala Thukzin, Zaba, Sykes","1","0","0","ZA","2023-10-26","67","False","410847","Permanent Music 3","2023-09-15","0.697","0.643","5","-10.253","0","0.0384","0.0709","0.584","0.101","0.748","118.004","4"
"7td8DTWoGC9u9db37mGHX6","Nấu ăn cho em","Đen, PiaLinh","50","0","0","VN","2023-10-26","64","False","241340","Nấu ăn cho em","2023-05-13","0.597","0.481","1","-10.848","0","0.037","0.76","0.0","0.212","0.547","90.0","4"
"5iZHnufFUgATzrpGgH1K0W","Ánh Sao Và Bầu Trời","T.R.I","49","-7","-7","VN","2023-10-26","66","False","260571","Ánh Sao Và Bầu Trời","2021-09-10","0.662","0.205","5","-14.005","0","0.0349","0.876","0.00354","0.109","0.268","139.911","4"
"4qJSUFwZFouto5VZUlln75","Thích Quá Rùi Nà","tlinh, Trung Trần","48","0","2","VN","2023-10-26","64","False","178000","Thích Quá Rùi Nà","2023-07-14","0.766","0.511","7","-7.47","1","0.0842","0.536","0.0","0.111","0.609","104.944","4"
"0M5Vaj3y4yhNQ1PX471F8P","MD Anniversary","BAN, CoolKid","47","3","3","VN","2023-10-26","53","False","140136","MD Anniversary","2023-10-10","0.54","0.642","1","-6.966","1","0.0369","0.16","0.000133","0.194","0.143","162.043","4"
"3a2Oftcs10wtzw6AmxuTMU","Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau","O.lew","46","1","0","VN","2023-10-26","65","False","278732","Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau","2023-01-02","0.638","0.106","3","-15.103","1","0.0424","0.955","1.1e-06","0.237","0.221","123.592","4"
"0Qs29ApstkrU5T8S5Hxazw","Ngõ Chạm","BigDaddy, Emily","45","4","5","VN","2023-10-26","63","False","232173","Ngõ Chạm","2023-08-03","0.726","0.679","3","-6.588","1","0.124","0.473","0.0","0.0921","0.454","91.991","4"
"7kpNUrBDYDoX6QKGzrBD1R","Thôi Em Đừng Đi","RPT MCK, Trung Trần","44","1","-3","VN","2023-10-26","65","False","173397","99%","2023-03-02","0.809","0.626","9","-7.531","0","0.0467","0.111","0.0","0.112","0.718","141.981","4"
"7CyPwkp0oE8Ro9Dd5CUDjW","One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp","43","-6","0","VN","2023-10-26","88","False","244684","The Idol Episode 4 (Music from the HBO Original Series)","2023-06-23","0.522","0.641","8","-6.287","1","0.0318","0.0545","0.0","0.162","0.202","87.51","4"
"08ULi904W2Po6pVj8nN7KC","đưa em về nhàa","GREY D, Chillies","42","1","-6","VN","2023-10-26","66","False","240000","đưa em về nhàa","2023-04-24","0.664","0.531","3","-10.227","1","0.0391","0.674","1.54e-05","0.353","0.644","90.96","4"
"5T6j0rfpCDBzAxC8Fpd0N7","An Thần","Low G, Thắng","41","3","7","VN","2023-10-26","65","False","174286","An Thần","2021-10-21","0.758","0.773","6","-7.266","0","0.214","0.631","2.1e-06","0.114","0.907","169.996","4"
"3UX7FjJDl6RodnWekzFwEB","Exit Sign","HIEUTHUHAI, marzuz","40","-2","-18","VN","2023-10-26","59","False","201589","Ai Cũng Phải Bắt Đầu Từ Đâu Đó","2023-10-16","0.626","0.597","2","-7.55","1","0.33","0.844","2.39e-05","0.149","0.182","79.406","4"
"45Mswno1F7FoZkcmQkp7fi","Thích Em Hơi Nhiều","Wren Evans","39","2","11","VN","2023-10-26","63","False","171741","Thích Em Hơi Nhiều","2021-06-18","0.92","0.41","11","-9.497","1","0.455","0.372","0.000595","0.126","0.861","143.034","4"
"1Vla7vXcM0zimotYpresDT","tình yêu có nghĩa là gì?","tlinh","38","1","-6","VN","2023-10-26","63","False","133784","ái","2023-08-16","0.443","0.371","5","-12.08","0","0.0377","0.864","0.78","0.421","0.189","92.468","4"
"2UtFCtiSoc30GJ4MUcHDKr","Tell the kids i love them (ft. Shiki)","Obito, Shiki","37","-5","-4","VN","2023-10-26","61","False","224175","Đánh Đổi","2023-10-10","0.678","0.482","2","-14.073","1","0.144","0.514","0.0","0.298","0.459","90.962","4"
"4fj4Jn4nw8fGX8xdbCntJf","Sau Cơn Mưa","CoolKid, Quang Anh Rhyder","36","4","1","VN","2023-10-26","62","False","154756","Sau Cơn Mưa","2023-07-28","0.69","0.3","6","-9.204","1","0.039","0.769","1.69e-06","0.123","0.646","81.983","4"
"1xoadYaxtOp9gHDwgmPDuz","Sài Gòn Hôm Nay Mưa","JSOL, Hoàng Duyên","35","-1","0","VN","2023-10-26","66","False","247058","Sài Gòn Hôm Nay Mưa","2021-05-29","0.624","0.604","2","-5.438","1","0.0619","0.784","0.00869","0.108","0.354","136.077","4"
"27Z9T0mSWHYWSj9SNOGvyt","Thằng Điên","JustaTee, Phương Ly","34","2","6","VN","2023-10-26","66","False","234000","Thằng Điên","2022-07-11","0.626","0.503","5","-8.753","1","0.0389","0.362","1.42e-06","0.0762","0.574","140.014","4"
"5ECHJ1llWBNYLVCYrllD3x","Chạy Khỏi Thế Giới Này","Da LAB, Phương Ly","33","0","5","VN","2023-10-26","66","False","255429","Chạy Khỏi Thế Giới Này","2022-06-30","0.71","0.552","5","-10.257","1","0.0694","0.761","1.22e-05","0.0921","0.617","139.904","4"
